"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter","thrpt",1,25,96858.526825,4119.146433,"ops/s"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.alloc.rate","thrpt",1,25,1416.381554,60.185314,"MB/sec"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.alloc.rate.norm","thrpt",1,25,16104.000447,0.000019,"B/op"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.churn.PS_Eden_Space","thrpt",1,25,1416.834680,59.849792,"MB/sec"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.churn.PS_Eden_Space.norm","thrpt",1,25,16109.566572,45.227455,"B/op"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.churn.PS_Survivor_Space","thrpt",1,25,0.045929,0.010233,"MB/sec"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.churn.PS_Survivor_Space.norm","thrpt",1,25,0.521557,0.113931,"B/op"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.count","thrpt",1,25,3451.000000,NaN,"counts"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.time","thrpt",1,25,2250.000000,NaN,"ms"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore","thrpt",1,25,55885.060621,624.864183,"ops/s"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.alloc.rate","thrpt",1,25,569.490726,10.156491,"MB/sec"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.alloc.rate.norm","thrpt",1,25,11224.000773,138.177630,"B/op"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.churn.PS_Eden_Space","thrpt",1,25,569.699069,10.156807,"MB/sec"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.churn.PS_Eden_Space.norm","thrpt",1,25,11228.140282,139.677420,"B/op"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.churn.PS_Survivor_Space","thrpt",1,25,0.044245,0.008658,"MB/sec"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.churn.PS_Survivor_Space.norm","thrpt",1,25,0.872757,0.172502,"B/op"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.count","thrpt",1,25,3441.000000,NaN,"counts"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.time","thrpt",1,25,2247.000000,NaN,"ms"
