"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter","thrpt",1,25,92889.298247,1915.336062,"ops/s"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.alloc.rate","thrpt",1,25,1358.315238,28.032634,"MB/sec"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.alloc.rate.norm","thrpt",1,25,16104.000465,0.000010,"B/op"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.churn.PS_Eden_Space","thrpt",1,25,1358.122877,29.399685,"MB/sec"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.churn.PS_Eden_Space.norm","thrpt",1,25,16101.256444,51.582929,"B/op"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.churn.PS_Survivor_Space","thrpt",1,25,0.045335,0.009615,"MB/sec"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.churn.PS_Survivor_Space.norm","thrpt",1,25,0.537313,0.113360,"B/op"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.count","thrpt",1,25,3188.000000,NaN,"counts"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.time","thrpt",1,25,2164.000000,NaN,"ms"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore","thrpt",1,25,52073.047773,1091.736338,"ops/s"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.alloc.rate","thrpt",1,25,528.050731,14.668050,"MB/sec"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.alloc.rate.norm","thrpt",1,25,11166.400830,157.527739,"B/op"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.churn.PS_Eden_Space","thrpt",1,25,528.214174,14.778787,"MB/sec"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.churn.PS_Eden_Space.norm","thrpt",1,25,11169.791840,158.943614,"B/op"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.churn.PS_Survivor_Space","thrpt",1,25,0.038553,0.007891,"MB/sec"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.churn.PS_Survivor_Space.norm","thrpt",1,25,0.815576,0.167586,"B/op"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.count","thrpt",1,25,3073.000000,NaN,"counts"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.time","thrpt",1,25,2101.000000,NaN,"ms"
